,date,event,who,repo,actor
0,2023-01-18 14:04:35+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
1,2023-01-18 14:12:21+00:00,DeleteEvent,attacker,tukaani-project/xz,JiaT75
2,2023-12-20 11:58:43+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
3,2023-10-14 15:18:58+00:00,CreateEvent,attacker,tukaani-project/xz,JiaT75
4,2023-10-23 17:06:12+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
5,2023-01-07 13:07:39+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
6,2023-01-07 13:15:32+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
7,2023-01-07 13:17:17+00:00,CreateEvent,attacker,tukaani-project/xz,JiaT75
8,2023-01-07 13:24:22+00:00,PullRequestEvent,attacker,tukaani-project/xz,JiaT75
9,2023-01-07 13:39:13+00:00,IssuesEvent,attacker,tukaani-project/xz,JiaT75
10,2023-01-07 13:51:10+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
11,2023-01-07 13:55:30+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
12,2023-02-13 13:32:29+00:00,PullRequestReviewCommentEvent,attacker,tukaani-project/xz,JiaT75
13,2023-02-13 13:37:27+00:00,PullRequestReviewCommentEvent,attacker,tukaani-project/xz,JiaT75
14,2023-02-13 13:57:55+00:00,PullRequestReviewEvent,attacker,tukaani-project/xz,JiaT75
15,2023-02-13 13:57:55+00:00,PullRequestReviewEvent,attacker,tukaani-project/xz,JiaT75
16,2023-02-13 13:39:07+00:00,PullRequestReviewCommentEvent,attacker,tukaani-project/xz,JiaT75
17,2023-02-13 13:41:59+00:00,PullRequestReviewCommentEvent,attacker,tukaani-project/xz,JiaT75
18,2023-05-09 12:29:43+00:00,CreateEvent,attacker,tukaani-project/xz,JiaT75
19,2023-05-09 12:56:57+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
20,2024-01-19 15:08:47+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
21,2024-01-19 15:09:41+00:00,DeleteEvent,attacker,tukaani-project/xz,JiaT75
28,2023-01-09 17:23:06+00:00,DeleteEvent,attacker,tukaani-project/xz,JiaT75
29,2024-01-23 14:18:44+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
30,2024-01-27 16:05:38+00:00,CreateEvent,attacker,tukaani-project/xz,JiaT75
31,2024-01-27 16:12:13+00:00,PushEvent,attacker,tukaani-project/xz,JiaT75
