;M;all;attacker;main;attacker%;main%
0;2021-01;51;0.0;18.0;0.0;0.35294117647058826
1;2021-02;40;0.0;18.0;0.0;0.45
2;2021-03;5;0.0;2.0;0.0;0.4
3;2021-04;10;0.0;5.0;0.0;0.5
4;2021-05;1;0.0;0.0;0.0;0.0
5;2021-07;2;0.0;1.0;0.0;0.5
6;2021-08;1;0.0;0.0;0.0;0.0
7;2021-09;2;0.0;1.0;0.0;0.5
8;2021-10;4;1.0;2.0;0.25;0.5
9;2021-11;10;5.0;4.0;0.5;0.4
10;2021-12;4;1.0;1.0;0.25;0.25
11;2022-01;1;0.0;0.0;0.0;0.0
12;2022-02;10;1.0;4.0;0.1;0.4
13;2022-03;13;5.0;5.0;0.38461538461538464;0.38461538461538464
14;2022-04;8;3.0;2.0;0.375;0.25
15;2022-05;7;2.0;1.0;0.2857142857142857;0.14285714285714285
16;2022-06;6;0.0;2.0;0.0;0.3333333333333333
17;2022-07;10;0.0;2.0;0.0;0.2
18;2022-08;10;0.0;6.0;0.0;0.6
19;2022-09;9;2.0;3.0;0.2222222222222222;0.3333333333333333
20;2022-10;6;3.0;0.0;0.5;0.0
21;2022-11;25;0.0;13.0;0.0;0.52
22;2022-12;2;0.0;2.0;0.0;1.0
23;2023-01;1;1.0;0.0;1.0;0.0
24;2023-03;1;0.0;1.0;0.0;1.0
25;2023-05;1;1.0;0.0;1.0;0.0
26;2023-08;1;1.0;0.0;1.0;0.0
27;2023-09;3;0.0;1.0;0.0;0.3333333333333333
28;2023-11;1;1.0;0.0;1.0;0.0
29;2024-01;1;1.0;0.0;1.0;0.0
30;2024-02;20;2.0;10.0;0.1;0.5
31;2024-03;18;1.0;8.0;0.05555555555555555;0.4444444444444444
