Date;Commits;Added lines;Removed lines;Total changes
2007-12; 20; 42718; 343; 43061
2008-01; 104; 4617; 1324; 5941
2008-02; 5; 94; 52; 146
2008-03; 15; 263; 214; 477
2008-04; 16; 232; 69; 301
2008-05; 6; 43; 41; 84
2008-06; 11; 5680; 9958; 15638
2008-08; 2; 8798; 7393; 16191
2008-09; 39; 2087; 2153; 4240
2008-10; 6; 174; 83; 257
2008-11; 12; 3485; 3603; 7088
2008-12; 36; 2151; 1667; 3818
2009-01; 30; 3533; 2414; 5947
2009-02; 44; 3550; 1066; 4616
2009-03; 7; 43; 16; 59
2009-04; 7; 983; 2118; 3101
2009-05; 18; 499; 1206; 1705
2009-06; 28; 1076; 678; 1754
2009-07; 26; 2295; 780; 3075
2009-08; 42; 2269; 588; 2857
2009-09; 24; 829; 441; 1270
2009-10; 8; 761; 360; 1121
2009-11; 21; 1196; 443; 1639
2009-12; 10; 2384; 882; 3266
2010-01; 29; 1760; 1363; 3123
2010-02; 10; 142; 127; 269
2010-03; 9; 174; 123; 297
2010-04; 1; 39; 48; 87
2010-05; 15; 328; 2364; 2692
2010-06; 13; 958; 243; 1201
2010-07; 6; 263; 10; 273
2010-08; 3; 378; 453; 831
2010-09; 35; 4648; 1208; 5856
2010-10; 43; 1172; 961; 2133
2010-11; 5; 110; 17; 127
2010-12; 8; 90; 55; 145
2011-01; 5; 32; 11; 43
2011-02; 6; 857; 24; 881
2011-03; 9; 126; 37; 163
2011-04; 43; 2582; 309; 2891
2011-05; 20; 1579; 231; 1810
2011-06; 1; 1; 1; 2
2011-07; 1; 59; 1; 60
2011-08; 4; 34; 18; 52
2011-09; 1; 7; 2; 9
2011-10; 3; 8; 1; 9
2011-11; 4; 63; 8; 71
2011-12; 1; 5; 1; 6
2012-01; 1; 2; 1; 3
2012-02; 4; 31; 16; 47
2012-03; 1; 65; 65; 130
2012-04; 5; 17; 14; 31
2012-05; 12; 710; 431; 1141
2012-06; 8; 900; 10; 910
2012-07; 16; 518; 294; 812
2012-08; 3; 9; 5; 14
2012-09; 1; 12; 2; 14
2012-10; 1; 9; 8; 17
2012-11; 1; 2; 1; 3
2012-12; 3; 136; 15; 151
2013-03; 5; 181; 63; 244
2013-04; 4; 9; 6; 15
2013-06; 19; 382; 136; 518
2013-07; 8; 249; 69; 318
2013-08; 4; 53; 17; 70
2013-09; 5; 596; 218; 814
2013-10; 8; 202; 54; 256
2013-11; 5; 95; 24; 119
2014-01; 10; 349; 13; 362
2014-04; 4; 55; 6; 61
2014-05; 6; 96; 61; 157
2014-06; 9; 189; 39; 228
2014-07; 8; 1226; 51; 1277
2014-08; 10; 175; 59; 234
2014-09; 7; 186; 62; 248
2014-10; 10; 833; 567; 1400
