;M;all;attacker;main;attacker%;main%
0;2022-12;36;10.0;13.0;0.2777777777777778;0.3611111111111111
1;2023-01;17;7.0;4.0;0.4117647058823529;0.23529411764705882
2;2023-02;30;12.0;5.0;0.4;0.16666666666666666
3;2023-03;17;2.0;5.0;0.11764705882352941;0.29411764705882354
4;2023-04;8;5.0;0.0;0.625;0.0
5;2023-05;3;0.0;1.0;0.0;0.3333333333333333
6;2023-06;26;11.0;5.0;0.4230769230769231;0.19230769230769232
7;2023-07;12;5.0;1.0;0.4166666666666667;0.08333333333333333
8;2023-08;13;3.0;7.0;0.23076923076923078;0.5384615384615384
9;2023-09;52;13.0;14.0;0.25;0.2692307692307692
10;2023-10;26;7.0;6.0;0.2692307692307692;0.23076923076923078
11;2023-11;57;29.0;7.0;0.5087719298245614;0.12280701754385964
12;2023-12;22;6.0;4.0;0.2727272727272727;0.18181818181818182
13;2024-01;24;8.0;4.0;0.3333333333333333;0.16666666666666666
14;2024-02;55;19.0;5.0;0.34545454545454546;0.09090909090909091
15;2024-03;35;8.0;10.0;0.22857142857142856;0.2857142857142857
